,2025
1.Population_Grid,10895845.347804684
1.Population_SA_Diesel,113978.14912336989
1.Population_SA_PV,764026.9161771281
1.Population_MG_Diesel,680327.5870863984
1.Population_MG_PV,0
1.Population_MG_Wind,0
1.Population_MG_Hydro,0
2.New_Connections_Grid,2916537.0068312814
2.New_Connections_SA_Diesel,32360.254012111003
2.New_Connections_SA_PV,445364.83372915146
2.New_Connections_MG_Diesel,461030.7175146789
2.New_Connections_MG_PV,0
2.New_Connections_MG_Wind,0
2.New_Connections_MG_Hydro,0
3.Capacity_Grid,250292.02478429786
3.Capacity_SA_Diesel,3488.9596614202223
3.Capacity_SA_PV,45260.208698201845
3.Capacity_MG_Diesel,0.0
3.Capacity_MG_PV,0
3.Capacity_MG_Wind,0
3.Capacity_MG_Hydro,0
4.Investment_Grid,2425958110.469153
4.Investment_SA_Diesel,4326347.9955936605
4.Investment_SA_PV,242465402.97841525
4.Investment_MG_Diesel,684805712.3037366
4.Investment_MG_PV,0
4.Investment_MG_Wind,0
4.Investment_MG_Hydro,0
Min_cluster_pop_2030,4.181245462
Max_cluster_pop_2030,1651147.9309999999
Min_cluster_area,1
Max_cluster_area,1
Min_existing_grid_dist,0.0
Max_existing_grid_dist,301.757
Min_road_dist,0.0001258
Max_road_dist,137.7594604
Min_investment_capita_cost,23.905303979985565
Max_investment_capita_cost,7747.1371779107685
