,2020,2030
1.Population_Grid,10238220.405900173,12661247.660106141
1.Population_SA_Diesel,0,1531165.4216149761
1.Population_SA_PV,0,30247.2448582926
1.Population_MG_Diesel,0,43291.88195736152
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,412.84173319692354
2.New_Connections_Grid,2084329.9038759922,2408089.03965808
2.New_Connections_SA_Diesel,0,
2.New_Connections_SA_PV,0,26292.39465027362
2.New_Connections_MG_Diesel,0,14154.336613939528
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,378.0203854569236
3.Capacity_Grid,157759.1268867295,154185.9419835405
3.Capacity_SA_Diesel,0,
3.Capacity_SA_PV,0,2583.476416410826
3.Capacity_MG_Diesel,0,1219.7563957411385
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,38.38544881866241
4.Investment_Grid,736451834.9967383,367416060.15373313
4.Investment_SA_Diesel,0,4725617.967841704
4.Investment_SA_PV,0,5330544.846379965
4.Investment_MG_Diesel,0,1997495.3703876932
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,136732.82887521829
Min_cluster_pop_2030,3.9705575919999916,4.391933331999994
Max_cluster_pop_2030,1567948.5963846147,1734347.2656153888
Min_cluster_area,1,1
Max_cluster_area,1,1
Min_existing_grid_dist,0.0,0.0
Max_existing_grid_dist,301757.0,301757.0
Min_road_dist,0.0001258,0.0001258
Max_road_dist,137.7594604,137.7594604
Min_investment_capita_cost,22.570059273372824,
Max_investment_capita_cost,7577.771730704885,
