,GHI
0,1830.158
1,1969.029
2,1793.964
3,2050.8160000000007
4,1865.3010000000002
5,2175.123
6,1813.27
7,1945.851
8,1987.356
9,1986.269
10,1895.244
11,2000.356
12,1903.115
13,1912.995
14,1781.533
15,1770.148
16,1992.9470000000001
17,2063.178
18,2008.332
19,1873.895
20,1929.736
21,1976.011
22,1885.8470000000002
23,1911.4589999999998
24,1994.79
25,2028.224
26,1774.751
27,2047.6860000000001
28,1874.88
29,1932.122
30,1808.616
31,1798.274
32,1988.9590000000005
33,1788.1439999999998
34,1933.144
35,1973.2479999999998
36,1904.92
37,2010.787
38,2031.971
39,1793.8760000000002
40,1918.544
41,2059.492
42,1801.791
43,1791.456
44,1823.492
45,1770.497
46,1813.155
47,1934.226
48,1949.068
49,1896.047
50,1830.997
51,1896.825
52,2048.583
53,1992.7720000000002
54,1989.9460000000001
55,2203.348
56,1780.6370000000006
57,1772.015
58,1989.266
59,1844.5839999999998
60,2000.42
61,1811.2
62,1868.3129999999999
63,1926.0179999999998
64,1825.404
65,1777.31
66,1790.754
67,2050.971
68,1984.997
69,1905.395
70,1991.3629999999998
71,1782.116
72,1792.598
73,1806.94
74,1770.5810000000001
75,2036.201
76,1905.539
77,1913.634
78,1879.39
79,1907.477
80,2063.55
81,1903.432
82,1793.067
83,1772.064
84,1786.109
85,2042.536
86,1824.686
87,1790.715
88,1987.036
89,1758.1960000000001
90,1957.153
91,1969.7940000000006
92,2040.049
93,1777.609
94,1773.9679999999994
95,1959.069
96,1981.82
97,1920.615
98,1821.342
99,2009.134
100,2059.112
101,1781.7520000000004
102,1906.887
103,1988.429
104,1810.0320000000002
105,2227.6040000000007
106,2063.379
107,1901.123
108,1770.0749999999994
109,1941.045
110,1771.9740000000006
111,1992.33
112,1779.562
113,1871.56
114,1960.307
115,1915.137
116,1991.293
117,1953.842
118,1917.177
119,1925.82
120,1934.371
121,1788.3
122,1900.7290000000003
123,1828.2620000000002
124,2072.7230000000004
125,1918.27
126,1925.2880000000002
127,1772.4240000000002
128,1918.3029999999999
129,1789.7540000000004
130,1901.1599999999999
131,2156.138
132,1771.5410000000002
133,1910.7380000000003
134,1931.133
135,1768.711
136,1755.656
137,2004.682
138,1936.491
139,1942.05
140,2202.476
141,2034.7520000000004
142,1919.513
143,1936.925
144,2036.208
145,1792.201
146,2005.2520000000002
147,1846.291
148,1906.498
149,1912.789
150,2169.9080000000004
151,1935.0020000000002
152,1829.903
153,1990.589
154,1998.438
155,2067.445
156,1874.4080000000001
157,1827.0359999999998
158,1874.237
159,1938.4060000000002
160,1784.004
161,1846.4070000000002
162,1959.087
163,1770.193
164,1797.3170000000002
165,1976.834
166,1997.617
167,1972.647
168,1827.405
169,2025.6019999999999
170,1888.0100000000002
171,1823.113
172,1993.605
173,1833.9270000000001
174,1814.695
175,1771.814
176,1835.4189999999999
177,1969.1760000000002
178,1962.946
179,2083.68
180,1919.495
181,2150.491
182,2201.5389999999998
183,1928.3690000000001
184,1938.732
185,2027.987
186,1848.4650000000001
187,2020.93
188,1811.5550000000003
189,1864.6789999999999
190,2140.3230000000003
191,1791.851
192,2001.373
193,2022.163
194,2006.3990000000001
195,1825.1609999999998
196,1994.272
197,1919.9340000000002
198,2235.439
199,2012.58
200,1796.887
201,1820.078
202,1814.3
203,2041.8250000000003
204,1839.855
205,1869.023
206,1932.115
207,2142.718
208,1980.242
209,2033.978
210,2022.6740000000002
211,1810.269
212,1907.621
213,1780.1989999999998
214,1795.662
215,1993.728
216,2053.31
217,2010.232
218,1773.0739999999998
219,1997.987
220,1992.071
221,1840.0529999999999
222,1989.074
223,1999.185
224,1817.7589999999998
225,1820.119
226,1774.7640000000001
227,1992.211
228,1946.559
229,1922.4859999999999
230,1916.357
231,2062.2450000000003
232,1954.0729999999999
233,1781.092
234,1902.0300000000002
235,2227.922
236,1839.0130000000001
237,1786.681
238,1982.915
239,1825.249
240,1953.368
241,1770.8839999999998
242,2038.824
243,1988.7640000000001
244,1991.415
245,1969.2130000000002
246,1847.4160000000002
247,1809.207
248,1821.3120000000001
249,1861.415
250,1923.323
251,1983.944
252,1981.91
253,1949.7710000000002
254,1930.8260000000002
255,1837.5
256,1763.976
257,2007.1219999999998
258,2042.025
259,2000.923
260,1771.8120000000004
261,2007.872
262,1768.321
263,1910.6729999999998
264,1918.6979999999999
265,1906.001
266,1987.2820000000002
267,1845.478
268,2222.043
269,1831.8539999999998
270,2036.587
271,2006.973
272,1956.273
273,1825.396
274,1824.4160000000002
275,1922.3
276,1977.551
277,1815.102
278,1991.6159999999998
279,1822.333
280,1918.8629999999998
281,1816.753
282,1963.786
283,2037.0390000000002
284,1945.0330000000001
285,2031.013
286,2051.197
287,1943.877
288,2003.632
289,1924.7299999999998
290,1767.9189999999999
291,1770.0780000000002
292,1902.987
293,1960.338
294,1772.876
295,2038.169
296,1977.35
297,2035.731
298,1785.965
299,1786.198
300,1991.3430000000003
301,1802.485
302,2186.141
303,2015.4270000000001
304,1806.4379999999999
305,1988.5349999999999
306,1830.202
307,1948.808
308,1787.2489999999998
