,Energy
0,424.08347140246946
1,512.9816641563477
2,521.5432640362136
3,518.4239298987184
4,566.1193222100325
5,536.3731397027791
6,517.2425626834682
7,603.3834764333839
8,520.9586409816645
9,503.22953090168346
10,600.4614308661978
11,566.1509227776652
12,546.2453053945067
13,519.1910646707295
14,512.9417870337439
15,504.2182896785386
16,604.0820264320814
17,536.8148897852133
18,464.93040149305455
19,468.6323685510508
20,465.23453763082614
21,477.30820127821164
22,452.17696675576207
23,463.8440189379067
24,466.2672111294172
25,465.1697589683762
26,465.2981340138173
27,452.1892057406825
28,470.18091910136206
29,450.6027453308534
30,477.4582681207432
31,465.5417943286912
32,484.94594163411057
33,498.999216043273
34,476.02959723145324
35,481.3474921512316
36,465.3554792420196
37,467.9301410396313
38,465.3571104806884
39,460.4584620291935
40,506.16716390869317
41,503.5021958271344
42,481.70609509869644
43,465.25790735971964
44,464.67092812627135
45,472.74736702462127
46,508.6411123053485
47,466.0860604608281
48,471.11996075033096
49,464.68327260898457
50,455.0547731898885
51,589.5279888312197
52,517.591221973517
53,521.38099885674
54,567.8459315286824
55,623.1784859244624
56,515.2920974770559
57,451.54157611326957
58,422.42054657942003
59,602.2180707825531
60,619.7716883331707
61,641.9871400294395
62,625.9649796744183
63,625.9145160029707
64,511.5019465640098
65,635.9276437499641
66,624.2550217400842
67,584.3511107829341
68,538.5016901232187
69,465.2125365637551
70,632.2284141394741
71,415.421432573517
72,435.8991863090623
73,429.47587225949604
74,418.8679448247129
75,412.6156864035582
76,429.8887419032546
77,425.8234978058629
78,417.9762129529944
79,436.79220899491247
80,415.55071983257454
81,413.08185491860434
82,422.17725991724933
83,415.72731020537026
84,414.34090295501187
85,544.6701692234105
86,463.45243050153357
87,578.8006473720687
88,455.88458689865854
89,448.6111076808997
90,525.8714527295712
91,438.2227613285731
92,599.1173488343843
93,553.6206950856433
94,573.4678667186855
95,588.6747444886372
96,454.24642981353907
97,496.1860792204463
98,540.8890146180139
99,453.693582902643
100,593.1561730313159
101,444.7391070263894
102,599.6646417089951
103,567.8942287412093
104,621.1221645080086
105,452.1010981474095
106,542.0290922281565
107,563.7791284889028
108,581.3132613934605
109,589.405707675503
110,622.7395802184527
111,586.4895203522746
112,528.902918623753
113,525.0580476673815
114,621.5722484614741
115,507.0917048012876
116,424.01109661703055
117,421.0084045053571
118,609.1635584777558
119,551.9701549755537
120,555.3021373507192
121,544.5212886800662
122,616.3577931850494
123,420.25968671687014
124,581.168773848762
125,524.7666161043052
126,643.2027037792067
127,621.8914731014878
128,639.045428512201
129,622.9170801121128
130,634.6441184282937
131,646.5912668654165
132,656.0186883737206
133,645.3669811962584
134,601.7773495092781
135,600.2324653578777
136,616.1383067200574
137,641.6720225591099
138,627.2239574321475
139,419.48798545892157
140,422.2963934180824
141,414.7379557402689
142,412.33192231312836
143,417.3767805699611
144,417.74201335035883
145,597.1724738001429
146,611.7874608765574
147,620.0093703214496
148,582.488892931449
149,594.3396269466856
150,608.9959217906876
151,606.83473080548
152,611.4692133851621
153,592.5515331170807
154,645.4511596303294
155,622.181641613781
156,609.1822243009765
157,577.3706025968061
158,573.4473017317752
159,595.9139610048295
160,621.0729057499118
161,619.7416997750909
162,587.8251530060932
163,595.9665861810737
164,592.166926023214
165,621.9563267657425
166,597.8381510405308
167,609.815923705314
168,638.5692307700775
169,619.9062299174886
170,622.8967930281295
171,621.8980855300643
172,600.8740714938375
173,601.074255961788
174,591.157004864634
175,617.9412274876083
176,617.0191026379832
177,594.4630619915924
178,634.9948311507302
179,605.4302389090424
180,611.5829926747831
181,650.0899966534937
182,601.627379392528
183,645.5145494008925
184,597.0540403185347
185,590.76259682214
186,591.2656222430694
187,635.8810525079297
188,639.7986423101981
189,623.3352474955576
190,494.39606523192003
191,446.8182961671333
192,479.2830095042275
193,462.9826306777122
194,575.9708456484417
195,463.7216266481245
196,460.51608615779355
197,459.9040173138408
198,476.5171967979063
199,471.5167385772419
200,467.440577457237
201,465.34907095439274
202,469.14244529791324
203,465.1813540932963
204,508.51211524480925
205,472.12693305846676
206,483.1817243450058
207,618.6790523222872
208,502.04758493285203
209,469.41782307409716
210,466.97686623207153
211,465.3622444946157
212,507.3017629769798
213,507.4484159291059
214,468.52492973175015
215,495.1159138087936
216,509.70544168202724
217,466.5550223561511
218,465.3632516255488
219,473.3208614026032
220,465.1965600357375
221,465.71699361836215
222,467.7780533785606
223,468.9511372532925
224,465.52604698799195
225,465.2100882916181
226,467.7087657678226
227,512.889931643115
228,574.1035740922933
229,437.318676592216
230,523.4806901575579
231,412.22745911966916
232,615.2128655892213
233,420.31147116554337
234,575.2674961772868
235,465.8809743902737
236,478.5953713861233
237,624.6657149379186
238,564.1648148944643
239,437.3407884812101
240,415.20078217231713
241,431.90982638046336
242,413.61301201815724
243,429.6233186027376
244,431.19602406727466
245,416.0583211719996
246,430.5028562577838
247,436.9714500072579
248,436.14152148346534
249,587.7832861438459
250,447.05798838018353
251,453.2740466864771
252,511.9016124974824
253,577.324452738539
254,498.0186047800197
255,452.88956636932215
256,514.7583627786862
257,443.16384631255335
258,461.4718270063426
259,586.2011280777856
260,465.5672509567392
261,547.0715160537129
262,536.1545084975696
263,565.4254523033053
264,461.09976508920937
265,516.0821365114979
266,587.0981088359113
267,575.8231539651028
268,558.2833125829734
269,598.6653854730157
270,607.686957293889
271,444.80190409971965
272,620.4052323812899
273,624.8982251631943
274,575.362352597729
275,564.112880810053
276,571.5349317093961
277,467.98181736959356
278,581.9062572413993
279,509.100843255907
280,595.4810315243064
281,618.7768340249875
282,535.4963160268645
283,520.8824280086691
284,580.9551453228185
285,603.6311260118596
286,558.375636386423
287,624.3127989937411
288,437.7868040674517
289,463.4464878043738
290,579.4448975717619
291,625.2862741464805
292,641.9270512760247
293,641.9512612744142
294,642.7939172115085
295,637.7908289769932
296,618.8754691012826
297,641.3081659070896
298,645.4380808029861
299,635.0727853407874
300,624.7704799433873
301,610.9209513770622
302,635.0191317242138
303,640.1674207264323
304,613.8830415549802
305,647.4544581980385
306,643.5978009706259
307,599.2992355670349
308,636.3666319648033
309,626.3479226237752
310,625.4456485842173
311,415.12579893034393
312,417.8695987064803
313,596.214802209963
314,593.2061316487388
315,573.3893747674099
316,628.2612820978563
317,604.5821668654265
318,593.0125925359193
319,602.9079150386178
320,592.9763980189578
321,568.0010391069104
322,574.4698043498897
323,621.0266206585864
324,598.5118841885414
325,656.6002448707378
326,612.1245321793477
327,621.3953361466736
328,612.340153008882
329,609.5084767871064
330,621.2409041566343
331,594.9551391872286
332,567.5491316650274
333,573.6821753924409
334,600.5703807255405
335,621.9067151564732
336,469.4605414314815
337,646.2304792144816
338,607.483205818678
339,608.4064081736993
340,613.5423143585107
341,466.5387005799439
342,472.3930278544759
343,476.13353202835003
344,491.29088708185014
345,507.0095642674855
346,464.66816315462364
347,465.6619726372722
348,465.3600060624229
349,465.70414534098603
350,464.76960286081896
351,465.47845698153367
352,465.3506193965324
353,467.7612464836609
354,504.91594496256954
355,465.95505215758897
356,467.24154755160424
357,471.49078047685003
358,512.3709939792199
359,472.96959719442856
360,465.6494941881069
361,511.378894632308
362,467.2700799093574
363,472.85259037331184
364,492.98954981690497
365,453.5885869213042
366,465.3444803273547
367,497.8347974188228
368,473.9177854869424
369,514.8809862112656
370,530.6656202525513
371,597.5334620488644
372,536.7191964461997
373,594.3456439675389
374,539.8116310933514
375,620.3398807916122
376,468.34721703042004
377,623.63638424133
378,641.638863817499
379,628.0151863788963
380,642.6834788607912
381,643.3649269021876
382,641.1654261192649
383,569.9398411803882
384,564.7968291785086
385,575.6347662699836
386,618.0820574994875
387,630.4407645500563
388,642.7450366133387
389,607.7264357003778
390,585.3154375751672
391,411.78483989030104
392,432.35282348508247
393,412.4712528763435
394,411.7460689294488
395,411.70037474907207
396,427.2893976185324
397,456.72029583087084
398,415.36846011840885
399,415.372811606338
400,418.2455286733508
401,435.44161487012906
402,421.12235168491617
403,429.19614236534807
404,414.79781808786146
405,531.789670975234
406,446.7188986941351
407,574.6013961429761
408,554.8005829998157
409,449.0588946401693
410,510.04512808496895
411,540.1647451091835
412,548.0876302149545
413,573.0682353598432
414,586.5443532937381
415,567.4517094210534
416,575.0170696755044
417,519.4928562322093
418,529.7343360638993
419,550.5792116899665
420,560.7713660386178
421,585.4253738824231
422,622.6389821679068
423,419.322703734783
424,466.82673871371156
425,453.129163393093
426,453.61511047533514
427,447.5376443531852
428,610.5235284656933
429,580.141744977451
430,419.0981013000149
431,449.98499453197024
432,557.2615108838191
433,567.3135347788946
434,632.0993800123953
435,551.4347334490468
436,621.3273887481629
437,585.9683523847638
438,551.0690968061307
439,574.7528886102644
440,629.0536557721174
441,620.5527757737102
442,642.0729769751656
443,634.9141976833636
444,624.9977651126286
445,622.3387246280695
446,627.1648124158127
447,633.6240221721014
448,621.6975467900951
449,634.8325444144515
450,622.3224387251305
451,625.4493481814754
452,614.4751860683535
453,625.669463076152
454,631.7353321108527
455,621.9492761877657
456,600.3221898098747
457,646.8129357045789
458,632.3009594572662
459,639.4092483485232
460,641.4357767661945
461,622.3054209413477
462,621.2116591211219
463,423.2457378362839
464,420.51117668296706
465,411.4989178191915
466,413.27668290218
467,418.2081105651115
468,414.1793139291252
469,416.6518246576787
470,617.6976652742311
471,588.572681486372
472,594.0808246795685
473,618.43447838916
474,628.9427919680098
475,613.4616145745181
476,582.2094630889717
477,591.1979804232025
478,598.6184779032405
479,656.4063917960921
480,617.1944000505817
481,646.4561621960818
482,622.0974612411139
483,646.4259505246099
484,623.2453740532404
485,618.0353179394277
486,606.5500887604812
487,609.4343707411327
488,623.0190757164598
489,605.3698257294312
490,590.2330324432633
491,608.9367899656374
492,591.5050982378286
493,610.3221776885044
494,645.4774149485447
495,662.548489349762
496,577.8596538531091
497,631.6537116285605
498,589.5133916761855
499,618.27367554914
500,631.7909610807678
501,610.9384345179745
502,604.3242326441904
503,630.5762753260625
504,633.8060003407937
505,622.0314132641569
506,609.2690487772387
507,589.3139800503703
508,608.2120704976228
509,581.0310165201439
510,623.1370750395981
511,646.5875676685674
512,639.3380895594473
513,651.4608851378711
514,620.6916136140711
515,634.8151120282427
516,637.4685997252724
517,640.7837698332886
518,473.7200393737929
519,508.848585277804
520,510.3092950485637
521,466.3798895306942
522,475.9124242456048
523,465.56836175387434
524,472.1398797181727
525,465.58733709636886
526,465.30386957779166
527,509.177856741375
528,476.5330200802825
529,463.9289823299237
530,499.27182091646057
531,472.6290238845533
532,509.5621952926076
533,466.55341900696385
534,465.3114976351814
535,467.3175629448959
536,499.29074388047087
