,Energy
10393,580.0570243065704
10394,424.4669603002049
10395,578.2226896333715
10396,581.7955597520114
10397,544.4165880375306
10398,569.940597993857
10399,577.8097783816321
10400,574.9969740107838
10401,535.7115921055786
10402,423.502275958003
10403,619.7902243329033
10404,564.4571516245485
10405,617.3006447045308
10406,557.5536562921221
10407,580.8223435012601
10408,539.6708731776217
10409,621.0845154007121
10410,434.426217601981
10411,439.65803797652245
10412,620.3148898475908
10413,415.8642968680852
10414,523.1501714156767
10415,451.42076623353694
10416,438.87395296690227
10417,557.6067157728387
10418,518.0798125568122
10419,443.6974071100161
10420,577.3731062242791
10421,452.48692538824366
10422,453.4836791425176
10423,566.5832058554988
10424,522.5460351784377
10425,539.8612585697098
10426,435.4719827806856
10427,576.0003707982655
10428,611.1206654710185
10429,618.5737204394584
10430,562.3286583383054
10431,472.321589967636
10432,546.8016684330541
10433,608.8828887499128
10434,578.9486632550378
10435,415.04731772741104
10436,582.0219688366661
10437,576.9016820669931
10438,524.5694745364398
10439,561.5241108339181
10440,605.467657436328
10441,619.4270446905736
10442,462.10456358234677
10443,618.1224584173731
10444,449.6305831097193
10445,554.0910550700138
10446,461.8250619042875
10447,534.933384041844
10448,549.1170461427813
10449,546.0924989731404
10450,558.5879512587906
10451,619.1889667399324
10452,540.8102165690148
10453,531.6654156255165
10454,448.40101059852464
10455,573.4912656426277
10456,619.2270492234975
10457,579.8233394556336
10458,517.142975298848
10459,458.68440998932255
10460,603.6288847427184
10461,605.4753380622183
10462,563.0326751560542
10463,598.5782693261583
10464,566.4080718924693
10465,562.7775567182192
10466,547.8768383666953
10467,540.6248212262176
10468,498.0282502748526
10469,570.6865790368428
10470,450.6259330245842
10471,449.40064655905707
10472,577.0067162720945
10473,577.366130963107
10474,419.71017745003405
10475,577.4121786048103
10476,528.0255507563949
10477,628.3009917845005
10478,620.863488491211
10479,578.3242138297932
10480,613.8826134777737
10481,518.660960472109
10482,419.17226069881707
10483,590.5802629039955
10484,446.7399270682445
10485,447.92973531973956
10486,549.2595897658019
10487,552.3417584497474
10488,592.1854473737658
10489,560.2764684207503
10490,440.407097035057
10491,603.7042012530471
10492,605.5339053964866
10493,531.1822560240515
10494,571.5319353022165
10495,535.6802545195644
10496,490.9881337318054
10497,447.3128241648794
10498,558.4047974112136
10499,439.94962423895095
10500,570.4176522588058
10501,542.2125737404539
10502,571.4941578479381
10503,453.0029927867017
10504,575.9570560693618
10505,586.8877589294851
10506,552.6636104893815
10507,582.7686760048238
10508,531.5199160489632
10509,465.8785064378593
10510,540.7815900985191
10511,451.399977572186
10512,566.2712963683654
10513,534.2123295623057
10514,627.8215553287602
10515,630.7516940739717
10516,661.9438454906225
10517,640.6365060201053
10518,631.9569112062067
10519,632.1163996832024
10520,642.6735456682102
10521,627.7113375203796
10522,604.6928250055649
10523,629.0810039648895
10524,626.4687959903014
10525,620.4079236571206
10526,625.358422694724
10527,600.0959358326255
10528,645.602930535402
10529,632.3672866847685
10530,622.1009906101951
10531,651.4606116364831
10532,630.5970063276095
10533,619.3930448366232
10534,634.4635041160961
10535,604.3674135037978
10536,646.1992785391212
10537,628.8739440225473
10538,625.9142614490718
10539,625.8842719492399
10540,631.0601889880843
10541,609.3070713815499
10542,627.7850463702274
10543,591.4869468940514
10544,615.4767312884096
10545,655.5730753855538
10546,619.5111469273445
10547,622.1281868102357
10548,618.3139057136524
10549,648.0121400810848
10550,625.0532881274135
10551,644.2337202401036
10552,649.8144992360244
10553,421.4361509633232
10554,423.45442736736214
10555,423.37702589452107
10556,423.7211442423169
10557,411.55854718048715
10558,416.94708630397776
10559,416.95387371520127
10560,422.76152857896557
10561,423.5099869339774
10562,412.3381383677472
10563,419.8801186953045
10564,420.28241965820604
10565,417.76537515816
10566,420.8951465993576
10567,418.18966390114866
10568,418.27805503332075
10569,423.34219471165505
10570,416.92958107291327
10571,422.7223341861402
10572,594.8181837289594
10573,587.6980940932539
10574,609.1255664760367
10575,610.084990106599
10576,614.7109320643787
10577,606.9303550186688
10578,603.6928033061897
10579,610.9770787437222
10580,591.5171096321955
10581,590.4914840829576
10582,621.7547665329737
10583,579.3364648588094
10584,603.7641098415203
10585,580.0749149033372
10586,593.9318969418165
10587,598.9409161343796
10588,596.6503206750202
10589,606.8407051124065
10590,570.7303366487969
10591,594.3385694329799
10592,611.3052655772299
10593,583.960471144012
10594,615.2093372794621
10595,566.0196351508234
10596,611.0073295187684
10597,611.821157302706
10598,577.0963516241422
10599,656.5364458836908
10600,613.9273450144534
10601,615.1797772335268
10602,589.9895105260313
10603,573.556068307026
10604,618.5302014141495
10605,606.2192129275946
10606,627.2062188974206
10607,639.5045045206368
10608,579.7418965427048
10609,618.3789415395212
10610,597.6231038478543
10611,603.9950995690799
10612,595.7428493030793
10613,591.2811565145988
10614,645.6630323236834
10615,597.708700950139
10616,620.8627929247227
10617,571.2618294075261
10618,603.2644663531245
10619,667.8575911662708
10620,595.6041775986097
10621,576.9226835415033
10622,658.4854092980776
10623,568.2549569602589
10624,609.5992032207598
10625,621.8349588256917
10626,649.5776317426113
10627,588.0322446748976
10628,594.8112385325583
10629,607.2326028484871
10630,600.5278762289802
10631,583.278933991522
10632,638.7896190857548
10633,607.5473332049842
10634,617.6236307007038
10635,618.5628442800411
10636,576.3745799735007
10637,602.0344487604958
10638,619.9453224526085
10639,644.0614999735309
10640,612.43423741405
10641,590.37629476586
10642,609.2400935107676
10643,625.6229292386926
10644,616.2970292766979
10645,638.5684313937325
10646,584.6520653968049
10647,610.1372011947201
10648,600.4491547134315
10649,662.8905847048337
10650,592.9898947273474
10651,598.6951317843926
10652,619.5255031317422
10653,586.0787466417639
10654,608.5346794751415
10655,616.0564929814474
10656,632.4544892262952
10657,621.1039823923433
10658,587.7669998081673
10659,599.6097325774213
10660,590.8073794923216
10661,577.5632262562999
10662,615.5515133826577
10663,580.9003910110669
10664,616.4205633241326
10665,607.7469265412976
10666,655.8411206252291
10667,566.4767408073419
10668,591.9777448022965
10669,607.452930320813
10670,569.5196326644923
10671,611.2177758083892
10672,619.02950184201
10673,613.5031930904499
10674,590.7600265077091
10675,608.8682436497304
10676,622.0809618453457
10677,603.2646208685068
10678,628.1581049514062
10679,625.2413390542446
10680,657.8718985021645
10681,577.1414773621675
10682,617.5704094363244
10683,646.7754064179617
10684,596.8182680874922
10685,608.4235730283755
10686,589.4822170234694
10687,644.1619790707822
10688,626.449777135274
10689,572.2634627175063
10690,567.0965481242816
10691,608.3011081784504
10692,617.1978676884078
10693,597.3837933570537
10694,592.2136765689518
10695,599.313646519868
10696,592.0739144971224
10697,571.9201337612908
10698,617.6360916023054
10699,590.3582948580195
10700,618.0945435375118
10701,605.7454974648778
10702,621.2474199109068
10703,627.3047955706951
10704,609.3233500499394
10705,656.627446705518
10706,582.8523772786705
10707,587.3519404718143
10708,627.66894037655
10709,576.6174477336947
10710,589.5535282049609
10711,602.3666129030255
10712,584.0725517744538
10713,597.1574828814008
10714,592.291028174747
10715,645.178886414462
10716,621.4693632737745
10717,646.065122335743
10718,600.3565766604997
10719,573.6284722983099
10720,586.320740207398
10721,642.479824495977
10722,609.008293470153
10723,609.8615918360622
10724,612.45450753958
10725,582.3671821255859
10726,588.6540316126257
10727,597.7666199443635
10728,599.6844105968228
10729,466.47321654412184
10730,462.3500933607697
10731,492.3812180392175
10732,464.15868490277086
10733,463.05545158927373
10734,510.0853124628734
10735,453.8269675843161
10736,478.9246996469118
10737,471.7508021121923
10738,472.4824439100156
10739,512.1195556759612
10740,471.5794319372995
10741,464.29919506571804
10742,471.9167440290057
10743,467.4633454904515
10744,455.7158534014662
10745,469.94041207031216
10746,455.007049795208
10747,457.2591926799801
10748,457.053655529273
10749,504.8808612227685
10750,495.01406163641406
10751,482.90470651498975
10752,460.16700318889497
10753,468.01374789470975
10754,446.872658824433
10755,473.08178433021527
10756,514.9106772161492
10757,467.82690565205326
10758,465.762935909617
10759,464.91688468057436
10760,484.8423523910859
10761,498.0009406900006
10762,494.40485273025666
10763,465.717972824954
10764,478.0164621474074
10765,475.83619847772
10766,467.2983852226611
10767,457.59509722974633
10768,484.9473739928932
10769,513.7611052202917
10770,447.74381102877845
10771,471.2227731810936
10772,508.66565303282056
10773,479.6851695175905
10774,427.0503600374852
10775,455.97595677125423
10776,466.6395224677658
10777,510.8479880762868
10778,466.84234618867634
10779,465.3454633059993
10780,475.3816818710064
10781,457.01814377166477
10782,474.3419026760931
10783,463.54169546402346
10784,510.425664938151
10785,465.1380931787519
10786,460.34447494115494
10787,461.86860320200293
10788,496.80621438958127
10789,471.15940015630713
10790,451.0142084690798
10791,458.7748680278932
10792,465.954913133354
10793,495.5672156953307
10794,465.3107343344992
10795,458.75327884470704
10796,479.4324698836791
10797,472.508766599307
10798,452.68640122123895
10799,449.8636997912509
10800,468.841311211803
10801,466.93720514476865
10802,455.9990515836299
10803,471.2620643804126
10804,497.7434478583826
10805,466.3434190630033
10806,447.3217765683028
10807,459.110090660932
10808,444.8419004128387
10809,463.68506527801566
10810,508.5846845741068
10811,501.0614124998534
10812,468.14156211158894
10813,453.51376007526517
10814,473.23713105572074
10815,491.5367519118462
10816,466.4550787120593
10817,502.2480503035234
10818,477.8784905858112
10819,514.2173372472134
10820,492.1391180498724
10821,507.5450678092208
10822,465.45655368393193
10823,500.84757044177593
10824,484.78173631221813
10825,473.7021486274118
10826,481.20626704669235
10827,530.6927599569402
10828,448.26741117219933
10829,475.7716870706823
10830,462.1868470157874
10831,473.61839102494247
10832,484.8624900546979
10833,502.2751337982976
10834,454.2865882358429
10835,464.18885031040935
10836,501.3486611946858
10837,461.18205119295544
10838,444.4970187338143
10839,472.92969255056016
10840,476.27540621975356
10841,537.2188170474952
