,Energy
2,536.3334066204193
4,520.9189651433088
6,512.9023054393612
7,504.17921967888776
8,464.8914915170755
15,465.1308834709992
20,477.419209778212
28,460.41969822003824
32,472.7083445630634
36,455.0164764194703
46,425.7855389140443
54,463.4130267749864
55,455.84588441822706
73,460.47742141138184
91,473.28184804566683
98,467.66988345426205
104,478.5560495472725
107,431.8719214066524
110,431.15798183286995
115,453.2353993465621
117,443.12585656100106
128,464.6294332460692
129,465.6230263115961
143,453.5502999975417
148,468.30904046763595
152,411.7087181995358
153,411.66302684801957
154,427.25124585515056
158,418.20771388744004
166,453.0898134006263
169,449.9459207409476
171,420.4731521428465
177,473.6811110146983
189,465.27264810157834
190,467.2786496790531
197,480.9315053073978
201,530.9195089475777
203,475.8662732683504
204,459.48523444640824
207,429.9209783676869
209,415.32029348906804
215,420.9342073138519
223,468.8263047763889
224,455.55470346221244
236,466.65781128602055
240,493.8150054140026
248,467.02780009143663
256,478.1404769476848
260,466.54364087731074
261,456.497580845753
267,472.9963670684011
271,415.61229176688727
272,422.673650529622
286,412.96131445367274
301,420.53928635587755
309,456.66854402349816
320,467.6224563587373
325,466.7548210845877
334,426.77973451929006
337,411.64244821777834
340,414.4799747039124
358,458.3153253014953
361,465.13894414400283
375,463.960519596086
376,476.92708986422906
378,459.8731624722214
385,430.3266514205131
386,412.1156614562671
388,437.6899603018253
391,429.02940145659545
402,444.75714018864244
413,480.97811563346585
414,494.33676834095166
417,478.65611791962897
427,486.4839106849762
432,469.5241132831585
435,456.24787094736206
455,411.634698012118
461,430.1612023872515
465,456.253850788002
474,465.33095596540187
489,473.8469997247152
496,467.0048426868318
498,457.51600779403975
501,472.55731843182787
504,444.06559262569573
505,426.88828543931
509,411.7959893097459
517,412.0274046442422
524,411.6329383808842
528,418.33080740876227
531,448.8885409173312
537,473.19426123229925
544,466.8432675995146
546,462.822176529012
562,472.3219115803435
578,428.6457190221352
582,446.7445264555351
583,452.1906573652537
584,453.496754338554
594,418.77222246925874
595,478.10618926818427
598,463.97126285087774
612,466.8003293479829
616,476.08666153916295
618,464.65670268277756
625,472.0663196920939
642,427.7981059470378
643,426.26466898373343
644,434.2925100654024
647,457.1133434272839
649,446.88414690731815
653,450.1537632893302
661,469.4139363503169
667,472.76685982595455
669,446.6605696441554
670,486.0903562163075
674,460.42156352764295
675,471.0791573055036
680,452.7620360921352
685,467.86784357187963
687,478.89053777191043
693,473.02972453500547
694,464.9959496163087
697,517.4409725466277
700,522.2019993549955
707,417.05614314220963
709,418.1741289693291
719,456.44354461592934
735,463.0470642424097
737,476.2813919046555
738,450.22732675853797
751,464.3003149844719
753,466.6090905377283
759,520.659714156468
779,455.6778704950252
782,446.75267187489476
785,439.20704322514115
791,465.0327346104799
792,475.98031135701683
805,468.0535408742018
813,500.97101286987896
819,424.79856857139606
826,429.8771695332732
827,417.5418178445852
831,462.6147622713562
832,451.75033924796406
837,450.6246242396345
851,464.0377939439353
862,450.14798206524864
863,473.29466288512236
865,432.0300789765291
871,430.8530631485987
874,448.03381226633945
877,453.43808702355904
883,475.7407224875254
884,459.73771637414967
889,494.35213267279835
895,469.3922059094387
909,466.4727091664291
928,417.52495107709694
930,415.9978787310804
932,434.6180703030242
934,418.8785099623113
942,431.07336785005
951,456.7177614356271
955,415.23057339263727
957,463.173556188547
967,422.92479408286584
969,472.5962151139557
970,468.2652106805436
976,520.5060087273375
977,510.9062006986829
979,411.4610724708295
982,431.5982255782052
983,415.47550679349905
991,435.7493321326793
992,428.0048584084149
994,451.72850401510556
998,430.46429862363095
1000,411.55880552932257
1001,414.1725325397018
1005,439.02352199340453
1006,411.65103505891716
1010,437.6259633750329
1012,412.7186437286353
1022,457.9954733210433
1023,455.6999470150033
1025,452.52298166504875
1028,452.89125794155825
1030,452.23048017513395
1031,448.5591284750794
1033,448.1380181678521
1036,461.90530776397395
1038,446.83132662212086
1039,448.7253226851617
1041,457.13135200487136
1042,451.24137401655156
1043,447.8382123522363
1044,449.76300078978227
1046,451.63603657928223
1048,425.74212152066184
1049,454.5299856949204
1051,448.26401633658867
1054,505.29346251611463
1056,505.58788457932934
1058,442.95430818110776
1065,452.76654436796247
1067,435.02162961560913
1075,417.0547633111503
1078,413.22678227771064
1088,413.8552712570288
1089,422.91002100504915
1090,423.0528860891876
1095,421.28707481820464
1098,465.91303047497007
1099,455.13304393261717
1100,467.34212321974627
1102,465.57576575002315
1103,466.5657146334536
1105,466.27151959216104
1108,462.52955595549236
1111,480.3575655977803
1114,473.4207818504746
1117,474.6510561793925
1126,447.41390659632685
1127,473.55309461720685
1128,468.16692444322797
1133,466.17373340113346
1135,462.2167269365426
1137,457.9077330297184
