,2025
1.Population_Grid,10889259.886201717
1.Population_SA_Diesel,683798.7573214775
1.Population_SA_PV,201435.6813831838
1.Population_MG_Diesel,679683.6752851985
1.Population_MG_PV,0
1.Population_MG_Wind,0
1.Population_MG_Hydro,0
2.New_Connections_Grid,2911960.41032582
2.New_Connections_SA_Diesel,307340.99510279804
2.New_Connections_SA_PV,175601.08405850522
2.New_Connections_MG_Diesel,460390.3226000959
2.New_Connections_MG_PV,0
2.New_Connections_MG_Wind,0
2.New_Connections_MG_Hydro,0
3.Capacity_Grid,250033.67749545854
3.Capacity_SA_Diesel,28793.119366415238
3.Capacity_SA_PV,13494.236147196734
3.Capacity_MG_Diesel,12702.804634918735
3.Capacity_MG_PV,0
3.Capacity_MG_Wind,0
3.Capacity_MG_Hydro,0
4.Investment_Grid,968291905.5069495
4.Investment_SA_Diesel,35703781.74193979
4.Investment_SA_PV,71162504.1556614
4.Investment_MG_Diesel,259157252.57353196
4.Investment_MG_PV,0
4.Investment_MG_Wind,0
4.Investment_MG_Hydro,0
Min_cluster_pop_2030,4.181245462
Max_cluster_pop_2030,1651147.9309999999
Min_cluster_area,1
Max_cluster_area,1
Min_existing_grid_dist,0.0
Max_existing_grid_dist,301.757
Min_road_dist,0.0001258
Max_road_dist,137.7594604
Min_investment_capita_cost,23.905303979985565
Max_investment_capita_cost,4792.761791493506
