,2025
1.Population_Grid,11544665.295421688
1.Population_SA_PV_,798116.1338039759
1.Population_MG_Hybrid_LowLands,111396.5709659
2.New_Connections_Grid,3151261.3785633314
2.New_Connections_SA_PV_,629584.2164185251
2.New_Connections_MG_Hybrid_LowLands,74447.21710536808
3.Capacity_Grid,262729.82763597503
3.Capacity_SA_PV_,44685.25690957865
3.Capacity_MG_Hybrid_LowLands,3834.9631987170924
4.Investment_Grid,1036905640.1461731
4.Investment_SA_PV_,245005959.8727115
4.Investment_MG_Hybrid_LowLands,37294753.442989126
