,2025
1.Population_Grid,11622925.496101284
1.Population_SA_PV_,802518.9852753764
1.Population_MG_Hybrid_LowLands,28733.5188149
2.New_Connections_Grid,3202038.23500589
2.New_Connections_SA_PV_,630640.1351657251
2.New_Connections_MG_Hybrid_LowLands,22614.441915609
3.Capacity_Grid,264918.8680977261
3.Capacity_SA_PV_,44872.912089949605
3.Capacity_MG_Hybrid_LowLands,1770.122496065375
4.Investment_Grid,1062694340.5792991
4.Investment_SA_PV_,246040551.73946458
4.Investment_MG_Hybrid_LowLands,19599007.19982316
