,OID,Country,CountryCode,GridCellArea,pointid,Pop,X,Y,X_deg,Y_deg,TravelHours,NTLBin,NTLArea,NightLights,Elevation,Slope,LandCover,Conflict,ElectrificationOrder,GHI,SolarRestriction,WindVel,HydropowerFID,HydropowerDist,Hydropower,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,SubstationDist,TransformerDist,RoadDist,IsUrban,Electrific,ElecTechStart,PerCapitaDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,ResidentialDemandTierCustom,CommercialDemand,AgriDemand,EducationDemand,HealthDemand,HealthDemand2025,EducationDemand2025,ElecStart,Elec_Initial_Status_Grid2012,Elec_Init_Status_Offgrid2012,Actual_Elec_Status_2012,FinalElecCode2012,GridReachYear,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,Pop2025High,Pop2025Low,Pop2012,GridDistCalibElec,ElecPopCalib,PV total output,MVConnectDist,minTDdist,Pop2025,NewConnections2025,NumPeoplePerHH,Tier,EnergyPerSettlement2025,TotalEnergyPerCell,Demand_Name2025,DistributionNetwork? 2012,MG_Hybrid_LowLandsFuelCost2025,SA_PV_2025,MG_Hybrid_LowLands2025,Minimum_Tech_Off_grid2025,Minimum_LCOE_Off_grid2025,Grid2025,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,InvestmentCost2025,ElecStatusIn2025,InvestmentCapita2025,FinalElecCode2025,NewCapacity2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,Scenario,SA
8,-1,Bolivia,1,1,9,984.6669,-7084.717,-2490.5854,-63.64309300000001,-21.95861,0,1,1,4.700418,661,0.9256996,14,0,0,1758,1,4.208947,394,62.997025,6318050,133.262,0.535,0.21,0.21100000000000002,2.6289999999999996,0,1.7873743999999998,0,0.8340000000000001,1,224.84387,10.659788,60.322834,221.18372000000002,583.1207,824.41205,223.1874,0,0,1.6564848,0.0,0,0,0.8340000000000001,1,0,1,Grid2012,2012,5,3,5,4,5,4.45,1.1777451,0.040099117999999996,941.77496,1133.1176,1076.4617,941.77496,0.21,785.4403,520.9586,0.0,0.21100000000000002,1133.1176,347.6772,3.4190940000000003,3,55402.996,171600.86,LowLands,True,1.0,1.0602946000000002,0.5940835,MG_Hybrid_LowLands2025,0.5940835,0.1223,0.0,0,Grid2025,0.1223,86013.52,1,247.39477999999997,Grid2025,14.605997,,,,Other technologies,False
25,-1,Bolivia,1,1,26,697.6237,-6958.9443,-1823.2382,-62.513259999999995,-16.262981,5,1,1,0.145305,528,0.5407350000000001,14,0,0,1879,1,6.3391848,528,29.971575,102342,149.99200000000002,127.10799999999999,0.057999999999999996,0.057999999999999996,127.538,0,1.6897174,0,0.7240000000000001,3,111.67147,10.659788,60.322834,221.18372000000002,583.1207,824.41205,109.333405,0,0,2.3380593999999997,0.0,0,0,0.7240000000000001,0,1,1,SA_PV2012,2012,5,1,5,4,5,4.05,1.1236313999999998,0.15982762,667.2354,802.79913,762.6592,667.2354,0.057999999999999996,483.07842999999997,465.16977,0.057999999999999996,0.057999999999999996,802.79913,319.7207,3.4190940000000003,3,51267.117,122733.63,LowLands,False,1.0224666999999998,0.8868931999999999,0.8298476999999999,MG_Hybrid_LowLands2025,0.8298476999999999,0.53818524,0.06517062,1,Grid2025,0.53818524,160870.77,1,503.16028,Grid2025,13.775564000000001,,,,Other technologies,False
29,-1,Bolivia,1,1,30,5982.076999999999,-6501.0195,-1834.2755,-58.39965,-16.358732,3,1,1,10.036832,120,0.9888744,13,0,0,1942,1,3.5110626000000003,540,39.63245,124517,503.57800000000003,503.301,0.073,0.053,503.31800000000004,0,0.1733701,2,0.9520000000000001,4,347.1301,10.659788,60.322834,221.18372000000002,583.1207,824.41205,318.11954,0,0,3.6276295,25.382952,0,0,0.9520000000000001,0,1,1,MG_Diesel2012,2012,5,1,3,5,5,3.8,1.098049,0.017256118,5721.499,6883.9487,6539.7515,5721.499,0.073,5446.866999999999,450.60275,0.053,0.053,6883.9487,1437.0818,3.8418381,4,193175.27,910314.94,LowLands,True,1.01348,1.1827642,0.45547512,MG_Hybrid_LowLands2025,0.45547512,0.22220103,0.058196597,1,Grid2025,0.22220103,205679.78,1,143.12323,Grid2025,47.353325,,,,Other technologies,False
30,-1,Bolivia,1,1,31,1340.7456,-7013.2354,-2027.2896,-63.000965,-18.025253,1,0,1,0.0,362,0.1004148,12,0,0,1901,0,6.7871914,628,27.065520000000003,921650,28.509,4.3660000000000005,0.361,0.361,24.264,0,3.5761294,0,0.8270000000000001,2,169.55617,10.659788,60.322834,221.18372000000002,583.1207,824.41205,169.55617,0,0,0.0,0.0,0,0,0.8270000000000001,0,1,1,SA_Diesel2012,2012,5,1,3,5,5,3.8,1.098049,0.19011727,1282.343,1542.8795,1465.7356,1282.343,0.361,1060.4977,477.45828,0.361,0.361,1542.8795,482.38187,3.4190940000000003,3,75331.18,232220.97,LowLands,False,1.0044934,0.9623775,0.79682845,MG_Hybrid_LowLands2025,0.79682845,0.5362448000000001,0.3963957,1,Grid2025,0.5362448000000001,234149.98,1,485.40378,Grid2025,19.49193,,,,Other technologies,False
50,-1,Bolivia,1,1,51,178.0394,-7139.1567,-1914.4788,-64.13213,-17.053060000000002,23,0,1,0.0,251,1.7531245,2,0,0,1787,1,3.87627,568,18.004220999999998,858453,24.995,25.211,19.787,2.98,46.246,0,3.9350848,0,0.0,0,130.60612,10.659788,60.322834,221.18372000000002,583.1207,824.41205,130.60612,0,0,0.0,0.0,0,0,0.0,0,0,0,Non,2012,5,1,4,5,5,4.0,1.1180711,0.027942436,170.28404,204.88103,194.63698,170.28404,19.787,0.0,455.05478,2.98,2.98,204.88103,204.88103,3.4190940000000003,3,34277.76,34277.76,LowLands,True,1.1033467,0.98964816,0.7757541,MG_Hybrid_LowLands2025,0.7757541,0.58450204,3.3318517,1,Grid2025,0.58450204,118743.516,1,579.5730599999999,Grid2025,9.774403,,,,0.2 USD/l,False
88,-1,Bolivia,1,1,89,1315.3114,-7231.8843,-1926.4001,-64.965126,-17.156046,2,1,1,1.1939663,320,1.0860237,14,0,0,1688,1,2.3267968,194,46.901337,5196390,15.14,15.14,0.1,0.009000000000000001,28.471999999999998,0,0.5544671999999999,0,0.9390000000000001,1,121.95888500000001,10.659788,60.322834,221.18372000000002,583.1207,824.41205,120.7188,0,0,1.2400757,0.0,0,0,0.9390000000000001,1,0,1,Grid2012,2012,5,1,5,5,5,4.2,1.1418033,0.000979114,1258.0167,1513.6108,1437.9303,1258.0167,0.1,1181.2777,455.88457999999997,0.0,0.009000000000000001,1513.6108,332.33313,3.4190940000000003,3,53132.996,227890.97,LowLands,True,1.0089867000000001,1.1255001,0.57641184,MG_Hybrid_LowLands2025,0.57641184,0.1223,0.0,0,Grid2025,0.1223,64950.95,1,195.43929,Grid2025,14.276929,,,,Other technologies,False
196,-1,Bolivia,1,1,197,221.64087999999998,-6885.7609999999995,-1730.6041,-61.85584300000001,-15.457529999999998,20,0,1,0.0,351,4.451301,2,0,0,1883,1,2.9174263,499,26.996243,305243,267.961,245.145,63.273,34.968,245.574,0,43.70062,0,0.131,2,98.24763,10.659788,60.322834,221.18372000000002,583.1207,824.41205,98.24763,0,0,0.0,0.0,0,0,0.131,0,1,1,SA_Diesel2012,2012,2,1,4,5,5,3.55,1.0773641999999999,0.005852615,211.98625,255.05597000000003,242.30317999999997,211.98625,63.273,27.770198999999998,460.51608,0.0,34.968,255.05597000000003,227.28578,3.4190940000000003,3,37592.316,41700.633,LowLands,False,1.0898666000000001,0.92040956,0.76924145,MG_Hybrid_LowLands2025,0.76924145,99.0,0.0,0,MG_Hybrid_LowLands2025,0.76924145,200415.95,1,881.77954,MG_Hybrid_LowLands2025,21.406517,6.5625663,6.4200835,8.423866,1 USD/l,False
219,-1,Bolivia,1,1,220,799.3605299999999,-6952.278,-1938.5977,-62.453373,-17.261356,18,1,1,0.25768070000000004,264,0.2245335,12,0,0,1883,0,5.1461463,207,31.119754999999998,4160980,54.385,53.958,0.026000000000000002,0.026000000000000002,54.105,0,29.779358000000002,0,0.905,2,174.59282,10.659788,60.322834,221.18372000000002,583.1207,824.41205,172.55234,0,0,2.0404882,0.0,0,0,0.905,0,1,1,SA_Diesel2012,2012,2,1,3,5,5,3.35,1.063706,0.08545522,764.5406,919.8739999999999,873.8803,764.5406,0.026000000000000002,691.9092400000001,473.32086,0.026000000000000002,0.026000000000000002,919.8739999999999,227.96478,3.4190940000000003,3,37692.77,140053.67,LowLands,False,1.0808799999999998,1.0493032,1.0607635,SA_PV_2025,1.0493032,0.729334,0.027656358,1,Grid2025,0.729334,165319.34,1,725.1968400000001,Grid2025,10.533237,,,,Other technologies,False
241,-1,Bolivia,1,1,242,359.71225,-7442.829000000001,-1683.4820000000002,-66.86007,-15.046574,10,1,1,0.13677,219,0.3175367,14,0,0,1831,1,2.4438272,126,3.3888056000000004,3562750,0.452,0.452,20.775,0.11,18.963,0,2.900703,0,0.636,1,127.05091999999999,10.659788,60.322834,221.18372000000002,583.1207,824.41205,122.5165,0,0,4.534418,0.0,0,0,0.636,1,0,1,Grid2012,2012,5,1,5,5,5,4.2,1.1418033,0.00152829,344.04323999999997,413.9433,393.24612,344.04323999999997,20.775,218.81151,431.90982,0.0,0.11,413.9433,195.13179,3.4190940000000003,3,32835.46,65206.39,LowLands,True,1.0449333,0.9658663000000001,0.73854357,MG_Hybrid_LowLands2025,0.73854357,0.1223,0.0,0,Grid2025,0.1223,70701.07,1,362.32473999999996,Grid2025,9.363127,,,,Other technologies,False
244,-1,Bolivia,1,1,245,537.75165,-7280.6943,-1701.9358,-65.40359000000001,-15.207607999999999,2,0,1,0.0,160,0.2008291,9,0,0,1879,1,4.036512999999999,492,67.74505,477438,28.114,28.114,58.963,27.570999999999998,34.661,0,1.0897803999999998,0,0.682,2,109.93263999999999,10.659788,60.322834,221.18372000000002,583.1207,824.41205,109.93263999999999,0,0,0.0,0.0,0,0,0.682,0,1,1,SA_Diesel2012,2012,5,1,5,5,5,4.2,1.1418033,0.033515647,514.3273,618.82434,587.8831,514.3273,58.963,350.7712,431.19599999999997,0.0,27.570999999999998,618.82434,268.0531,3.4190940000000003,3,43623.426,95516.445,LowLands,False,1.0089867000000001,0.9042832000000001,0.8445483,MG_Hybrid_LowLands2025,0.8445483,99.0,0.0,0,MG_Hybrid_LowLands2025,0.8445483,246578.4,1,919.88635,MG_Hybrid_LowLands2025,18.278872,6.716348599999999,7.296585,4.2659383,1 USD/l,False
