,2025
1.Population_Grid,11471322.288723586
1.Population_SA_PV_,794666.6062981761
1.Population_MG_PV_,0.0
1.Population_MG_Diesel_,0.0
1.Population_MG_Hybrid_LowLands_,188189.10516980002
2.New_Connections_Grid,3158517.874442227
2.New_Connections_SA_PV_,626562.1748216761
2.New_Connections_MG_PV_,0.0
2.New_Connections_MG_Diesel_,0.0
2.New_Connections_MG_Hybrid_LowLands_,70212.76282332199
3.Capacity_Grid,261172.07797160183
3.Capacity_SA_PV_,44397.83382249937
3.Capacity_MG_PV_,0.0
3.Capacity_MG_Diesel_,0.0
3.Capacity_MG_Hybrid_LowLands_,3737.589688245661
4.Investment_Grid,1045819778.8618623
4.Investment_SA_PV_,243458244.24047622
4.Investment_MG_PV_,0.0
4.Investment_MG_Diesel_,0.0
4.Investment_MG_Hybrid_LowLands_,29864873.429300178
