,2025
1.Population_Grid,11632124.236117585
1.Population_SA_PV_,814552.6097149762
1.Population_MG_PV_,7501.154359000002
1.Population_MG_Diesel_,0.0
2.New_Connections_Grid,3210156.6826730464
2.New_Connections_SA_PV_,638271.1457875924
2.New_Connections_MG_PV_,6864.983626586
2.New_Connections_MG_Diesel_,0.0
3.Capacity_Grid,265289.6557703998
3.Capacity_SA_PV_,46232.90965714437
3.Capacity_MG_PV_,1200.9982511119226
3.Capacity_MG_Diesel_,0.0
4.Investment_Grid,1070158382.6101239
4.Investment_SA_PV_,252962099.3315942
4.Investment_MG_PV_,6128862.564127929
4.Investment_MG_Diesel_,0.0
